"text","label"
"Increase in thefts reported from Chandrapur.","High"
"Police did not respond on time to Kozhikode complaint.","High"
"Chain snatching reported in Muzaffarpur.","Low"
"Chain snatching reported in South Dumdum.","Low"
"Police did not respond on time to Sri Ganganagar complaint.","Medium"
"Chain snatching reported in Aurangabad.","Medium"
"Increase in thefts reported from Muzaffarnagar.","High"
"Chain snatching reported in Thane.","High"
"Chain snatching reported in Hosur.","Medium"
"Chain snatching reported in Ramgarh.","Medium"
"Increase in thefts reported from Sultan Pur Majra.","Low"
"Chain snatching reported in Nanded.","Low"
"Increase in thefts reported from Katihar.","High"
"Increase in thefts reported from Nagpur.","Medium"
"Chain snatching reported in Bongaigaon.","High"
"Police did not respond on time to Agartala complaint.","Medium"
"Police did not respond on time to Morbi complaint.","High"
"Chain snatching reported in Lucknow.","High"
"Chain snatching reported in Loni.","Medium"
"Police did not respond on time to Hyderabad complaint.","High"
"Chain snatching reported in Bhatpara.","High"
"Increase in thefts reported from Kirari Suleman Nagar.","Medium"
"Police did not respond on time to Gurgaon complaint.","High"
"Increase in thefts reported from Khora .","Medium"
"Police did not respond on time to Chandrapur complaint.","High"
"Patients at Medininagar hospital forced to sleep on floor.","High"
"Ambulance took over 1 hour to arrive in Jamnagar.","Low"
"Lack of staff in Anand government hospital.","Medium"
"Lack of staff in Cuttack government hospital.","Low"
"Lack of staff in Karaikudi government hospital.","High"
"Lack of staff in Agra government hospital.","High"
"Patients at Bidar hospital forced to sleep on floor.","Medium"
"Lack of staff in Vadodara government hospital.","Low"
"Lack of staff in Bhilai government hospital.","Medium"
"Lack of staff in Pudukkottai government hospital.","Low"
"Ambulance took over 1 hour to arrive in Berhampur.","Low"
"Patients at Visakhapatnam hospital forced to sleep on floor.","Medium"
"Ambulance took over 1 hour to arrive in Raebareli.","High"
"Patients at Bathinda hospital forced to sleep on floor.","Low"
"Patients at Raiganj hospital forced to sleep on floor.","Low"
"Ambulance took over 1 hour to arrive in Sikar.","Medium"
"Ambulance took over 1 hour to arrive in Ambala.","High"
"Patients at Deoghar hospital forced to sleep on floor.","Low"
"Ambulance took over 1 hour to arrive in Khora .","High"
"Lack of staff in Varanasi government hospital.","High"
"Lack of staff in Katihar government hospital.","Low"
"Lack of staff in Ajmer government hospital.","High"
"Lack of staff in Bidhannagar government hospital.","High"
"Patients at Munger hospital forced to sleep on floor.","Low"
"Lack of staff in Panihati government hospital.","High"
"Ambulance took over 1 hour to arrive in Mahbubnagar.","Low"
"Patients at Rewa hospital forced to sleep on floor.","Low"
"Lack of staff in Hajipur government hospital.","Low"
"Patients at Ichalkaranji hospital forced to sleep on floor.","High"
"Ambulance took over 1 hour to arrive in Kharagpur.","Medium"
"Lack of staff in Danapur government hospital.","Medium"
"Patients at Vijayawada hospital forced to sleep on floor.","Medium"
"Patients at Vadodara hospital forced to sleep on floor.","Medium"
"Ambulance took over 1 hour to arrive in Bilaspur.","Low"
"Lack of staff in Nadiad government hospital.","Medium"
"Lack of staff in Naihati government hospital.","Low"
"Lack of staff in Cuttack government hospital.","Medium"
"Patients at Sri Ganganagar hospital forced to sleep on floor.","High"
"Ambulance took over 1 hour to arrive in Hyderabad.","Low"
"Lack of staff in Bahraich government hospital.","Low"
"Patients at Gudivada hospital forced to sleep on floor.","Low"
"Lack of staff in Katihar government hospital.","Medium"
"Patients at Sirsa hospital forced to sleep on floor.","Low"
"Ambulance took over 1 hour to arrive in Aizawl.","Medium"
"Patients at Vellore hospital forced to sleep on floor.","High"
"Ambulance took over 1 hour to arrive in Bulandshahr.","Medium"
"Patients at Bhimavaram hospital forced to sleep on floor.","Medium"
"Lack of staff in Aurangabad government hospital.","Low"
"Patients at Tumkur hospital forced to sleep on floor.","Medium"
"Ambulance took over 1 hour to arrive in Aurangabad.","Low"
"Customer cheated at Panchal and Sons outlet in Rourkela.","Low"
"Fake product sold at Date, Brar and Bal shop in Delhi.","Low"
"No refund provided by Sahota, Kibe and Mangal despite repeated complaints.","High"
"No refund provided by Bala PLC despite repeated complaints.","High"
"No refund provided by Thaman and Sons despite repeated complaints.","Low"
"Customer cheated at Deo, Kashyap and Kunda outlet in Rajahmundry.","Low"
"Customer cheated at Madan-Seshadri outlet in Raebareli.","Medium"
"Customer cheated at Patla, Walia and Krishna outlet in Kota.","Medium"
"Fake product sold at Andra LLC shop in Dhanbad.","Medium"
"Customer cheated at Kapoor, Solanki and Varghese outlet in New Delhi.","Low"
"No refund provided by Ghose, Dubey and Pillai despite repeated complaints.","Low"
"No refund provided by Loke, Rai and Saraf despite repeated complaints.","Low"
"No refund provided by Menon and Sons despite repeated complaints.","Low"
"Customer cheated at Bhat-Chatterjee outlet in Akola.","Medium"
"No refund provided by Tank and Sons despite repeated complaints.","High"
"Customer cheated at Dugar-Dayal outlet in Ujjain.","High"
"Customer cheated at Apte-Deshmukh outlet in Anantapuram.","Low"
"Fake product sold at Desai LLC shop in Nagaon.","High"
"No refund provided by Murthy Group despite repeated complaints.","High"
"Customer cheated at Pandey-Bhattacharyya outlet in Aurangabad.","High"
"Customer cheated at Walia Group outlet in Noida.","High"
"No refund provided by De, Singh and Chaudry despite repeated complaints.","High"
"No refund provided by Rau-Wason despite repeated complaints.","Medium"
"Customer cheated at Manne, Raval and D’Alia outlet in Bhopal.","High"
"Fake product sold at Bir, Pal and Bali shop in Guwahati.","Low"
"No refund provided by Subramanian and Sons despite repeated complaints.","Medium"
"Customer cheated at Bassi, Tandon and Dash outlet in Srikakulam.","Low"
"Customer cheated at Tiwari PLC outlet in Patiala.","Medium"
"Customer cheated at Agate and Sons outlet in Gurgaon.","Low"
"Fake product sold at Rai, Lala and Sarna shop in Raiganj.","High"
"Fake product sold at Saxena, Bhardwaj and Sathe shop in Motihari.","High"
"Fake product sold at Sood-Kadakia shop in Begusarai.","High"
"Customer cheated at Mander Ltd outlet in Asansol.","Medium"
"No refund provided by Subramanian, Sachar and Dutt despite repeated complaints.","High"
"No refund provided by Kapadia-Shukla despite repeated complaints.","High"
"Customer cheated at Sankar-Comar outlet in Thrissur.","High"
"No refund provided by Sampath-Thaker despite repeated complaints.","Medium"
"Customer cheated at Krish-Suresh outlet in Orai.","Medium"
"No refund provided by Sant LLC despite repeated complaints.","Low"
"No refund provided by Vasa, Prashad and Batra despite repeated complaints.","High"
"No refund provided by Manne-Atwal despite repeated complaints.","Medium"
"Fake product sold at Devi-Sem shop in Thanjavur.","High"
"Customer cheated at Peri and Sons outlet in Vellore.","Medium"
"Fake product sold at Dhar-Mall shop in Rajahmundry.","Low"
"Fake product sold at Prashad, Aggarwal and Sharma shop in Bardhaman.","Low"
"No refund provided by Munshi and Sons despite repeated complaints.","Low"
"Customer cheated at Shankar LLC outlet in Karaikudi.","Low"
"No refund provided by Kala Inc despite repeated complaints.","Medium"
"No refund provided by Setty Group despite repeated complaints.","High"
"Customer cheated at Sarin-Narang outlet in Berhampore.","Low"
"Parking issues near Gwalior market area.","High"
"Traffic light not working at Madurai crossing.","Low"
"Traffic light not working at Mahbubnagar crossing.","Low"
"Encroachment causing bottleneck in Tiruppur.","High"
"Parking issues near Unnao market area.","High"
"Traffic light not working at Udaipur crossing.","Low"
"Parking issues near Shahjahanpur market area.","Medium"
"Traffic light not working at Deoghar crossing.","Medium"
"Parking issues near Phagwara market area.","Low"
"Parking issues near Bhavnagar market area.","Low"
"Encroachment causing bottleneck in Nanded.","High"
"Parking issues near Sambalpur market area.","High"
"Encroachment causing bottleneck in Burhanpur.","High"
"Encroachment causing bottleneck in Bareilly.","High"
"Parking issues near Aligarh market area.","High"
"Encroachment causing bottleneck in Vasai-Virar.","Low"
"Traffic light not working at Akola crossing.","Medium"
"Traffic light not working at Deoghar crossing.","High"
"Encroachment causing bottleneck in Bulandshahr.","Medium"
"Traffic light not working at Farrukhabad crossing.","High"
"Traffic light not working at Cuttack crossing.","High"
"Encroachment causing bottleneck in Patna.","High"
"Parking issues near Kalyan-Dombivli market area.","High"
"Traffic light not working at Kurnool crossing.","Medium"
"Traffic light not working at Satara crossing.","High"
"Traffic light not working at Bhilwara crossing.","Medium"
"Encroachment causing bottleneck in Patna.","Medium"
"Encroachment causing bottleneck in Machilipatnam.","High"
"Parking issues near Korba market area.","High"
"Traffic light not working at Hajipur crossing.","Medium"
"Encroachment causing bottleneck in Sagar.","High"
"Parking issues near Karimnagar market area.","Low"
"Parking issues near Tiruchirappalli market area.","Medium"
"Encroachment causing bottleneck in Jalgaon.","Medium"
"Parking issues near Gorakhpur market area.","Low"
"Traffic light not working at Mira-Bhayandar crossing.","Medium"
"Encroachment causing bottleneck in Mysore.","Low"
"Traffic light not working at Bangalore crossing.","Medium"
"Encroachment causing bottleneck in Raurkela Industrial Township.","Medium"
"Traffic light not working at Thrissur crossing.","Low"
"Parking issues near Bhubaneswar market area.","High"
"Encroachment causing bottleneck in Kanpur.","High"
"Traffic light not working at Bhatpara crossing.","High"
"Encroachment causing bottleneck in Chinsurah.","Low"
"Traffic light not working at Saharsa crossing.","High"
"Encroachment causing bottleneck in Udupi.","Medium"
"Traffic light not working at Bhilwara crossing.","High"
"Encroachment causing bottleneck in Bhopal.","High"
"Encroachment causing bottleneck in Maheshtala.","Medium"
"Encroachment causing bottleneck in Nanded.","High"
"Poor families in Giridih denied access to free ration.","High"
"Widow assistance scheme not reaching beneficiaries in Jalgaon.","Medium"
"Widow assistance scheme not reaching beneficiaries in Nagercoil.","High"
"Poor families in Kota denied access to free ration.","High"
"Old age pension delayed for residents of Surat.","High"
"Old age pension delayed for residents of Hyderabad.","Low"
"Old age pension delayed for residents of Shivpuri.","High"
"Old age pension delayed for residents of Silchar.","High"
"Old age pension delayed for residents of Thoothukudi.","Medium"
"Poor families in Sikar denied access to free ration.","Low"
"Widow assistance scheme not reaching beneficiaries in Unnao.","High"
"Old age pension delayed for residents of Sangli-Miraj & Kupwad.","Low"
"Old age pension delayed for residents of Ghaziabad.","Low"
"Old age pension delayed for residents of Nagaon.","High"
"Poor families in Durgapur denied access to free ration.","Low"
"Poor families in Haldia denied access to free ration.","High"
"Old age pension delayed for residents of Loni.","High"
"Poor families in Jehanabad denied access to free ration.","Low"
"Old age pension delayed for residents of Junagadh.","High"
"Old age pension delayed for residents of Singrauli.","High"
"Widow assistance scheme not reaching beneficiaries in Mangalore.","Medium"
"Poor families in Pune denied access to free ration.","Low"
"Poor families in Bidhannagar denied access to free ration.","Low"
"Old age pension delayed for residents of Davanagere.","Low"
"Widow assistance scheme not reaching beneficiaries in Rewa.","High"
"Old age pension delayed for residents of Kavali.","Low"
"Poor families in Shimla denied access to free ration.","High"
"Poor families in Bhilai denied access to free ration.","Medium"
"Widow assistance scheme not reaching beneficiaries in Vijayanagaram.","High"
"Poor families in Dhule denied access to free ration.","Low"
"Old age pension delayed for residents of Sambhal.","High"
"Poor families in Firozabad denied access to free ration.","High"
"Poor families in Mirzapur denied access to free ration.","Medium"
"Poor families in Belgaum denied access to free ration.","Low"
"Old age pension delayed for residents of Guwahati.","High"
"Poor families in North Dumdum denied access to free ration.","Low"
"Widow assistance scheme not reaching beneficiaries in Bhiwani.","Medium"
"Poor families in Kishanganj denied access to free ration.","Medium"
"Widow assistance scheme not reaching beneficiaries in Kolhapur.","Medium"
"Poor families in Fatehpur denied access to free ration.","Medium"
"Widow assistance scheme not reaching beneficiaries in Khammam.","High"
"Old age pension delayed for residents of Yamunanagar.","Medium"
"Old age pension delayed for residents of Machilipatnam.","Low"
"Old age pension delayed for residents of Kozhikode.","Medium"
"Poor families in Uluberia denied access to free ration.","High"
"Widow assistance scheme not reaching beneficiaries in Firozabad.","Medium"
"Widow assistance scheme not reaching beneficiaries in Warangal.","Low"
"Widow assistance scheme not reaching beneficiaries in Thanjavur.","High"
"Widow assistance scheme not reaching beneficiaries in Jamnagar.","Low"
"Poor families in Gaya denied access to free ration.","Low"
